oid,NZGD ID,NZTM Easting,NZTM Northing,year
CPT-BRK-18,55459.0,1575147.05,5193927.82,2010
CPT-BUR-03,267.0,1574122.15,5183152.5,2010
CPT-BUR-05,269.0,1573932.91,5183259.54,2010
CPT-BUR-06,270.0,1574224.55,5183261.04,2010
CPT-BUR-07,271.0,1574132.76,5183360.69,2010
CPT-BUR-08,272.0,1573690.75,5183434.84,2010
CPT-BUR-11,275.0,1573555.27,5183600.37,2010
CPT-BUR-12,276.0,1573673.65,5183591.8,2010
CPT-BUR-18,280.0,1573678.78,5183942.6,2010
CPT-BUR-19,281.0,1574060.59,5183581.85,2010
CPT-BUR-26,287.0,1574310.74,5183287.96,2010
CPT-BUR-27,288.0,1574145.84,5183562.21,2010
CPT-BUR-28,289.0,1574315.15,5183567.8,2010
CPT-BUR-29,290.0,1573958.28,5183679.0,2010
CPT-BUR-30,291.0,1573882.58,5183868.76,2010
CPT-BUR-31,292.0,1573624.09,5183944.45,2010
CPT-BUR-33,294.0,1573137.87,5183009.62,2010
CPT-BUR-34,295.0,1574226.9,5184924.32,2010
CPT-BUR-35,296.0,1574243.27,5184806.06,2010
CPT-BUR-36,297.0,1574226.56,5184738.83,2010
CPT-BUR-37,298.0,1574338.24,5184738.32,2010
CPT-BUR-38,299.0,1575145.74,5183586.44,2010
CPT-BUR-39,300.0,1575071.83,5183451.4,2010
CPT-BUR-41,302.0,1575445.25,5183463.94,2010
CPT-BUR-42,303.0,1575330.49,5183843.5,2010
CPT-BUR-43,304.0,1575300.65,5184245.65,2010
CPT-BUR-44,305.0,1575535.09,5184224.26,2010
CPT-BUR-46,307.0,1575767.47,5183825.18,2010
CPT-BUR-47,308.0,1574789.98,5184744.13,2010
CPT-BUR-48,309.0,1574874.0,5184738.09,2010
CPT-BUR-49,310.0,1574897.92,5184856.13,2010
CPT-BUR-51,311.0,1573613.76,5183291.47,2010
CPT-BUR-52,312.0,1573541.65,5183881.12,2010
CPT-BUR-53,313.0,1573624.08,5183944.45,2010
CPT-BUR-54,314.0,1573887.01,5184020.57,2010
CPT-BUR-57,317.0,1575105.79,5183415.3,2010
CPT-BUR-58,318.0,1575167.14,5183400.15,2010
CPT-BUR-59,319.0,1575306.95,5183420.1,2010
CPT-BUR-60,320.0,1575381.88,5183442.01,2010
CPT-CBK-03,1061.0,1567598.49,5185478.32,2010
CPT-CBK-04,1062.0,1567802.38,5185577.24,2010
CPT-CBK-08,1066.0,1568380.93,5186000.94,2010
CPT-DAL-07,36.0,1574602.57,5182888.22,2010
CPT-DAL-10,1087.0,1573547.91,5181402.25,2010
CPT-DAL-11,1088.0,1573475.39,5181613.71,2010
CPT-DAL-12,1089.0,1573546.15,5181653.92,2010
