cluster,n_soundings,n_dates,n_epochs,first_date,last_date,E,N,nzgd_ids,span_days
18834,2,2,2,2010-12-06,2013-11-05,1575170.3199999998,5186047.11,508;44693,1065
1630,2,2,2,2008-06-20,2011-03-16,1572128.78,5178847.21,117090;117092,999
19101,2,2,2,2011-05-11,2013-11-27,1570556.685,5176182.29,1075;59166,931
18941,2,2,2,2011-05-13,2013-11-13,1576445.6099999999,5181530.5600000005,19;36401,915
18645,2,2,2,2011-05-23,2013-10-22,1569932.1800000002,5183307.470000001,760;36399,883
13488,2,2,2,2010-11-17,2013-03-19,1573526.6099999999,5182479.475,1117;19792,853
20374,3,2,2,2011-11-21,2014-03-18,1576629.3933333333,5184049.503333333,27641;38782;40301,848
18520,2,2,2,2011-07-21,2013-10-15,1570781.15,5180517.5,27150;49066,817
19550,3,2,2,2011-10-26,2013-12-13,1571106.1466666665,5181055.446666666,389;390;37821,779
4302,2,2,2,2010-04-18,2012-04-19,1570506.755,5180406.234999999,5359;5360,732
10126,2,2,2,2010-12-01,2012-11-30,1569409.7999999998,5181222.865,1400;15827,730
9234,2,2,2,2010-11-19,2012-11-02,1573693.7349999999,5181572.1899999995,1090;55461,714
18719,2,2,2,2011-12-07,2013-10-30,1570293.125,5180719.18,32291;34449,693
11816,2,2,2,2011-05-13,2013-02-04,1575915.6099999999,5181515.09,9;17030,633
6611,2,2,2,2010-12-03,2012-08-09,1568238.7149999999,5181459.76,1145;19159,615
13723,2,2,2,2011-07-20,2013-03-26,1570739.025,5180467.295,27249;27265,615
9233,2,2,2,2011-03-10,2012-11-02,1573401.0,5181589.0,55499;56290,603
9204,2,2,2,2011-03-10,2012-11-01,1573688.0,5181357.0,55498;56288,602
11832,2,2,2,2011-07-14,2013-02-05,1574438.6949999998,5181063.825,142;18943,572
9586,2,2,2,2011-05-20,2012-11-14,1570136.78,5182492.045,747;10055,544
10407,3,2,2,2011-07-12,2012-12-07,1570331.47,5180262.276666666,13579;27543;27547,514
8245,2,2,2,2011-05-12,2012-09-26,1576597.96,5181917.755000001,24;5545,503
7429,2,2,2,2011-05-17,2012-09-04,1574298.3050000002,5184806.93,353;5656,476
8380,2,2,2,2011-07-08,2012-10-02,1575240.65,5181900.545,887;6551,452
7552,2,2,2,2011-06-24,2012-09-06,1574573.54,5185374.1,348;33784,440
7132,2,2,2,2011-06-27,2012-08-24,1575007.6150000002,5182667.805,87;4399,424
5747,2,2,2,2011-05-30,2012-07-11,1571838.07,5181550.795,545;13563,408
5393,2,2,2,2011-05-25,2012-06-28,1578043.67,5180923.535,663;2648,400
9577,2,2,2,2011-11-03,2012-11-14,1567643.335,5181639.595,9619;27180,377
6391,2,2,2,2011-07-25,2012-08-02,1568678.905,5181147.9,5651;94410,374
4075,2,2,2,2011-05-04,2012-04-03,1568201.82,5177084.495,1244;5398,335
7623,2,2,2,2011-11-22,2012-09-09,1574645.54,5182458.575,5531;27578,292
7836,2,2,2,2011-12-01,2012-09-13,1576987.8900000001,5183789.425,9250;27511,287
6760,2,2,2,2011-11-03,2012-08-14,1574333.9449999998,5184752.41,4980;27686,285
4420,2,2,2,2011-08-02,2012-05-01,1576494.7,5184038.245,1430;2171,273
3573,2,2,2,2011-05-20,2012-02-02,1570062.665,5182211.984999999,752;1971,258
2389,2,2,2,2010-11-16,2011-07-18,1573098.545,5181192.245,103;130,244
6035,2,2,2,2011-11-22,2012-07-19,1576867.95,5183616.79,6416;27523,240
2392,2,2,2,2010-12-13,2011-07-18,1573766.645,5181305.21,136;1128,217
3106,2,2,2,2011-04-28,2011-11-11,1568463.98,5182357.22,1417;1418,197
2088,2,2,2,2010-11-25,2011-05-31,1572542.865,5182152.765,539;582,187
1982,2,2,2,2010-11-23,2011-05-24,1575778.01,5184023.265000001,306;330,182
2083,2,2,2,2010-12-15,2011-05-31,1572311.205,5182134.535,533;577,167
2947,2,2,2,2011-05-12,2011-10-13,1576564.29,5182062.76,23;59212,154
2965,2,2,2,2011-05-17,2011-10-17,1571471.255,5178489.68,998;1045,153
2875,2,2,2,2011-05-25,2011-09-29,1574777.0150000001,5183524.845000001,54;59380,127
1612,2,2,2,2010-11-18,2011-03-01,1573403.45,5181583.98,111;55508,103
