dropped,rate
"1573171.14,5181557.65",1.913288710846437
"1573678.78,5183942.60",1.929147764866467
"1573681.08,5183528.51",1.1454448689212189
"1573725.52,5181312.16",1.9493067334143268
"1574310.74,5183287.96",1.9653358954672617
"1579212.13,5178865.59",2.8719040784305108
