oid,year,E,N,qc1Ncs,mS,mF,pgaS,pgaF,LSN_S,LSN_F,eband
AVD-POD01-CPT001,2012,1574720.61,5183131.63,116.24602260067616,0,1,22.59,68.54,6.534800467697695,15.412474593466465,CE
AVD-POD01-CPT015,2012,1575167.29,5183093.46,93.29540632929758,0,1,22.03,76.29,6.519041576290343,18.22255590921645,E
AVD-POD03-CPT001,2012,1574885.15,5182772.77,83.67880815093469,0,1,22.59,76.29,8.957484436403245,18.76304126748638,CE
AVD-POD03-CPT007,2012,1574940.02,5182769.01,93.1757128689375,0,1,22.59,76.29,7.915664393455065,18.91068595391627,CE
AVD-POD03-CPT014,2012,1575001.84,5182874.33,95.27907549416013,0,1,22.59,76.29,6.713661978855916,17.650632639730464,CE
BIS-POD01-CPT005,2012,1566237.42,5185691.81,81.91636367023779,0,1,27.03,24.3,12.55687745449386,8.762368318867527,W
BIS-POD01-CPT006,2012,1566319.49,5185781.68,81.30221392698812,0,1,27.03,24.3,9.948110005716076,7.648828592735503,W
BIS-POD01-CPT014,2012,1571912.72,5180625.23,75.43957978689028,0,1,21.99,67.03,8.917861308185758,15.930948362284385,CW
BIS-TC201-CPT011,2013,1566298.71,5185433.56,73.82963065472129,0,0,27.03,24.3,8.80732304998209,6.833383148723295,W
BIS-TC201-CPT035,2013,1566020.0,5185443.0,77.9768726298172,0,0,27.03,24.3,8.708155862310445,6.911399169021508,W
BUR-POD01-CPT17,2012,1574483.92,5185498.16,108.17781338707152,0,1,23.06,51.57,2.8110005693665268,7.234569140466575,CE
BUR-POD04-CPT06,2012,1575094.15,5183874.69,95.3731009380318,0,1,22.03,65.96,5.6161669975232,14.535047394808332,E
CAS-POD01-CPT001,2012,1568383.83,5185966.13,85.05228283913081,0,1,25.55,24.37,10.61184897176204,8.482508930325944,W
CCC-POD01-CPT007,2013,1570005.01,5180643.93,82.184229425542,0,1,21.29,50.88,1.9205202947905105,4.271266434734672,W
CCC-POD02-CPT055,2013,1571128.0,5180913.0,108.47585622366395,0,1,22.52,63.18,3.0521801383866345,8.128635264145148,W
CCC-POD03-CPT011,2012,1571921.27,5180652.42,123.33944641665268,0,1,21.99,67.03,1.676272456308924,4.980208577653353,CW
CHM-POD01-CPT005,2012,1570560.55,5176588.0,409.2720155758216,0,1,22.4,82.87,0.0,0.0,W
CHM-POD01-CPT008,2013,1570525.19,5176522.56,81.57341211934573,0,1,22.4,82.87,1.368378603955177,3.445986348659921,W
CHM-POD01-CPTB003,2012,1570348.98,5176270.13,79.77368571810402,0,1,22.4,82.87,3.8012209161394734,8.471317320738784,W
CPT-ARN-01,2010,1576467.29,5181262.38,131.5367278649672,0,1,21.67,100.6,2.7864445536765725,13.25450653302823,E
CPT-ARN-02,2010,1576219.81,5182209.91,137.49778980388615,0,1,21.91,93.63,1.0417203852766634,7.518106579792506,E
CPT-ARN-04,2010,1576734.22,5182326.47,105.22987327121606,0,1,21.67,82.41,3.863515152194528,11.824167443727156,E
CPT-ARN-19,2011,1576447.24,5181529.13,91.9732796732262,0,1,21.67,93.63,9.002912892953715,20.02072121013901,E
CPT-ARN-21,2011,1576142.24,5182128.74,135.4618911195305,0,1,21.91,93.63,1.6624531327619252,10.023474259064846,E
CPT-ARN-22,2011,1576516.96,5181721.57,105.83184680165438,0,1,21.67,93.63,6.335962222273381,18.76798039475211,E
CPT-ARN-23,2011,1576564.82,5182063.9,107.09844347090902,0,1,21.67,93.63,3.950951435887051,14.81731873451441,E
CPT-ARN-24,2011,1576598.12,5181917.48,115.91605109706752,0,1,21.67,93.63,3.381043738976223,13.59419120064346,E
CPT-ARN-25,2011,1576610.34,5182256.74,91.313255984059,0,1,21.67,82.41,4.735442059028691,14.761178082419809,E
CPT-ARN-26,2011,1576326.5,5182390.67,105.14097081902148,0,1,21.91,82.41,4.535703985938333,15.813726501774967,E
CPT-ARN-28,2011,1576349.9,5182694.74,102.46917190808009,0,1,22.03,82.41,4.535380580460004,14.74594075501586,E
CPT-ARN-30,2011,1576730.34,5182526.74,89.48378345276416,0,1,21.67,82.41,7.12585616471289,18.241781296305877,E
CPT-ARN-31,2011,1576554.91,5182798.43,106.23257102660604,0,1,21.67,82.41,5.499609164274381,19.648087976236265,E
CPT-ARN-33,2011,1576455.01,5182974.97,130.1575543763192,0,1,21.67,82.41,3.409557470827264,14.923227391590032,E
CPT-AVD-02,2010,1574602.57,5182888.22,91.43161356661636,0,1,22.59,68.54,6.516498534153399,17.784771918370765,CE
CPT-AVD-09,2010,1574545.91,5183483.03,78.21000783219368,0,1,22.59,64.24,11.923756423303196,22.26673874595016,CE
CPT-AVD-13,2010,1576073.73,5183420.72,89.18143056755353,0,1,22.03,69.93,10.878039881707288,20.271382435091176,E
CPT-AVD-14,2010,1574380.34,5182978.27,84.53703459474787,0,0,22.59,68.54,12.77652467816668,23.407817212580827,CE
CPT-AVD-15,2010,1574389.57,5183052.47,86.54072731919062,0,0,22.59,68.54,13.055532981503704,22.155291400708517,CE
CPT-AVD-16,2010,1574412.83,5183187.48,74.40986437958824,0,0,22.59,64.24,20.136761303836742,23.71382192441976,CE
CPT-AVD-17,2010,1574462.37,5183343.75,75.01231121070516,0,0,22.59,64.24,16.59815332954439,23.10362132549545,CE
CPT-AVD-18,2010,1574504.38,5183445.31,80.75147002624165,0,0,22.59,64.24,11.143389791422836,19.52311157709914,CE
CPT-AVD-19,2010,1574621.42,5183528.92,83.03824253863489,0,1,22.59,64.24,9.452517658704922,19.022721036004924,CE
CPT-AVD-30,2011,1575655.29,5183463.58,95.55956404751662,0,1,22.03,69.93,9.947175419016352,17.519310329735113,E
CPT-AVD-32,2011,1574748.99,5183367.87,85.82776852946479,0,1,22.59,65.96,10.43767052752931,20.958651847802606,CE
CPT-AVD-36,2011,1575063.14,5183262.1,78.6690181157253,0,1,22.59,65.96,9.28055753481872,18.613267292886096,E
CPT-AVD-37,2011,1575280.89,5183250.93,92.53651991836436,0,1,22.03,65.96,6.671158053613166,17.037879764101362,E
CPT-AVD-38,2011,1575481.19,5183322.52,99.3155269447344,0,1,22.03,69.93,5.3831142770076905,14.473272518234044,E
CPT-AVD-40,2011,1574739.53,5183186.78,89.23139953008663,0,1,22.59,65.96,8.099613118052472,19.21577081872946,CE
CPT-AVD-41,2011,1574895.81,5183087.24,99.85414377111618,0,1,22.59,76.29,4.7721110685012285,13.614287745704608,CE
CPT-AVD-42,2011,1574963.31,5183183.73,90.9538110051497,0,1,22.59,65.96,6.699661556243552,18.27413443329712,CE
CPT-AVD-43,2011,1574993.09,5183095.71,92.30632869190664,0,1,22.59,76.29,7.039624107118937,19.190309358498613,CE
CPT-AVD-44,2011,1575042.66,5182992.81,89.49444890824887,0,1,22.59,76.29,7.321790173025643,17.63818833910263,CE
CPT-AVD-47,2011,1575008.08,5182912.24,89.51327175861347,0,1,22.59,76.29,7.941099986277331,19.468858734946373,CE
CPT-AVD-48,2011,1575133.48,5182981.62,89.08383015403386,0,1,22.03,76.29,8.210217339778533,19.873941596624388,E
CPT-AVD-49,2011,1575208.69,5183108.69,85.50902359739815,0,1,22.03,76.29,8.537591807642483,20.87984846919893,E
CPT-AVD-50,2011,1575308.06,5183183.05,88.82559929436148,0,1,22.03,65.96,6.747342130131496,18.573228619084645,E
CPT-AVD-51,2011,1575472.69,5183253.79,92.49878905643456,0,1,22.03,69.93,6.673307173346462,17.56668752416891,E
CPT-AVD-54,2011,1575735.91,5183249.46,92.38423751448106,0,1,22.03,69.93,6.771557139548136,18.843356655600388,E
CPT-AVD-56,2011,1575705.85,5183354.4,97.6080128878689,0,1,22.03,69.93,4.577695904129303,12.64858182509874,E
CPT-AVD-57,2011,1575628.16,5183243.49,104.15234326994688,0,1,22.03,69.93,6.218819718079271,18.80567728347254,E
CPT-AVD-62,2011,1575919.33,5183451.85,111.62800759866042,0,1,22.03,69.93,4.978020925997771,16.20101993952914,E
CPT-AVL-02,2010,1571538.59,5181020.72,57.29695371942431,0,0,22.52,67.03,16.777787290703376,21.424540546623074,CW
CPT-AVL-04,2010,1571754.87,5180795.58,82.20550616943595,0,1,21.99,67.03,6.661412601132939,13.385450064205376,CW
CPT-AVL-05,2010,1571427.92,5180830.54,101.28061565485692,0,1,22.52,67.03,3.1999932952129075,10.008715360171934,CW
CPT-AVS-01,2010,1574334.76,5182427.44,82.33037326729622,0,1,22.24,68.54,2.853639145532404,7.190169607660656,CE
CPT-AVS-02,2010,1572609.36,5195793.58,52.29120096414257,1,0,26.59,22.02,10.279817861031615,8.091708003674555,CW
CPT-AVS-07,2010,1572621.8,5181199.47,92.8785022870675,0,1,22.46,70.22,7.1761713140297,15.997047214749736,CW
CPT-AVS-08,2010,1572870.39,5181207.81,72.64606739062594,0,1,22.46,79.92,10.74258748001761,16.353360610350144,CW
CPT-AVS-10,2010,1573409.98,5181232.45,66.79918320594803,0,0,22.46,83.17,12.376625612403394,18.304600311227983,CE
CPT-AVS-11,2010,1572693.83,5181313.38,75.66360589621489,0,1,22.46,64.67,4.83170609568236,9.8824645574814,CW
CPT-AVS-12,2010,1573142.1,5181330.55,79.87538410040304,0,1,22.46,70.66,5.69186267790505,12.50042971600797,CE
CPT-AVS-15,2010,1572911.71,5181581.84,137.85666326765892,0,1,22.46,70.66,2.0708597741418555,6.747912063252935,CW
CPT-AVS-16,2010,1573171.14,5181557.65,119.52750253484275,0,1,22.46,70.66,2.5989767037840963,8.401190136997347,CE
CPT-AVS-17,2010,1573403.45,5181583.98,113.93339482657215,0,0,22.46,73.3,6.024259079806627,17.605764824966496,CE
CPT-AVS-18,2010,1572887.1,5181738.23,135.45498974251984,0,1,22.46,70.66,3.985578050885736,9.908286149639013,CW
CPT-AVS-20,2010,1573325.46,5181769.39,87.79422809122279,0,1,22.46,70.66,7.284247485776083,16.38625085769504,CE
CPT-AVS-21,2010,1573487.37,5181763.69,75.22114961773681,0,1,22.46,73.3,14.76520996635732,24.1602828929952,CE
CPT-AVS-22,2010,1572979.89,5181864.6,124.8614858563663,0,1,22.46,70.66,4.110023307151781,11.776199541150348,CW
CPT-AVS-23,2010,1573381.0,5181893.25,83.52933713663732,0,0,22.46,70.66,9.836303103004798,17.186163753017922,CE
CPT-AVS-24,2010,1573209.09,5181989.69,86.79917731306666,0,0,22.46,70.66,14.197114995774898,17.524917625074863,CE
CPT-AVS-25,2010,1573075.1,5181969.3,79.43182840668267,0,0,22.46,70.66,13.170612429489244,18.35191597200632,CW
CPT-AVS-26,2010,1573141.77,5181988.6,92.47328892178632,0,0,22.46,70.66,11.248631389160115,14.347772447249202,CE
CPT-AVS-28,2010,1573334.22,5181947.15,73.45391034189957,0,0,22.46,70.66,12.428999492040449,17.202038467213566,CE
CPT-AVS-29,2010,1573425.32,5181857.69,93.82215223809318,0,0,22.46,73.3,10.617355029319096,20.890666764011858,CE
CPT-AVS-30,2010,1573474.19,5181653.17,83.57765985927942,0,0,22.46,73.3,10.901992047122956,18.66182095403716,CE
CPT-AVS-31,2010,1573420.84,5181606.58,120.63565753762644,0,0,22.46,73.3,4.690277168625171,13.887044236684066,CE
CPT-AVS-35,2011,1572550.03,5181082.92,90.01887850462039,0,1,22.46,70.22,4.308507691932286,8.769584998270464,CW
CPT-AVS-39,2011,1573098.46,5181194.42,107.12443410535806,0,1,22.46,79.92,1.4373845969291108,4.150966333704172,CW
CPT-AVS-41,2011,1573234.46,5181060.91,86.59607056387551,0,1,22.46,79.92,4.007333297136512,10.99970771011381,CE
CPT-AVS-42,2011,1573269.05,5181192.74,125.03842800442251,0,1,22.46,79.92,1.975921422418188,7.692385254262417,CE
CPT-AVS-43,2011,1573390.54,5180836.74,96.81456184159384,0,1,22.46,79.92,2.0440779584550466,6.3952616616540485,CE
CPT-AVS-45,2011,1573367.13,5181100.03,112.96671599212328,0,1,22.46,79.92,3.337683972766711,11.1356683472329,CE
CPT-AVS-49,2011,1573714.79,5181137.05,120.19374217389388,0,1,22.46,83.17,3.864024306780606,12.256590573461295,CE
CPT-AVS-51,2011,1573911.08,5181146.5,117.94177498145694,0,1,22.24,83.17,5.034269635609066,13.735645154242818,CE
CPT-AVS-55,2011,1574281.78,5180862.64,124.0134866806982,0,1,22.24,97.21,3.693406657454637,14.744751503320044,CE
CPT-AVS-57,2011,1574142.32,5181112.75,106.5249054909937,0,1,22.24,97.21,4.576683245957332,12.301310807624148,CE
CPT-BDL-01,2010,1566939.14,5184259.77,83.66097057687632,0,1,26.73,26.38,6.188363111463343,4.483645975121713,W
CPT-BDL-02,2010,1567137.08,5184147.46,75.07582067758341,0,0,25.38,26.38,8.085118135507221,7.236501040916087,W
