oid,year,qc1Ncs,mF,LSN_F,hc
AVD-POD01-CPT001,2012,116.24602260067616,1,15.412474593466465,True
AVD-POD01-CPT015,2012,93.29540632929758,1,18.22255590921645,True
AVD-POD03-CPT001,2012,83.67880815093469,1,18.76304126748638,True
AVD-POD03-CPT007,2012,93.1757128689375,1,18.91068595391627,True
AVD-POD03-CPT014,2012,95.27907549416013,1,17.650632639730464,True
BIS-POD01-CPT005,2012,81.91636367023779,1,8.762368318867527,True
BIS-POD01-CPT006,2012,81.30221392698812,1,7.648828592735503,True
BIS-POD01-CPT014,2012,75.43957978689028,1,15.930948362284385,True
BIS-TC201-CPT011,2013,73.82963065472129,0,6.833383148723295,True
BIS-TC201-CPT035,2013,77.9768726298172,0,6.911399169021508,True
BUR-POD01-CPT17,2012,108.17781338707152,1,7.234569140466575,True
BUR-POD04-CPT06,2012,95.3731009380318,1,14.535047394808332,True
CAS-POD01-CPT001,2012,85.05228283913081,1,8.482508930325944,True
CCC-POD01-CPT007,2013,82.184229425542,1,4.271266434734672,True
CCC-POD02-CPT055,2013,108.47585622366395,1,8.128635264145148,True
CCC-POD03-CPT011,2012,123.33944641665268,1,4.980208577653353,True
CHM-POD01-CPT005,2012,409.2720155758216,1,0.0,True
CHM-POD01-CPT008,2013,81.57341211934573,1,3.445986348659921,True
CHM-POD01-CPTB003,2012,79.77368571810402,1,8.471317320738784,True
CPT-ARN-01,2010,131.5367278649672,1,13.25450653302823,True
CPT-ARN-02,2010,137.49778980388615,1,7.518106579792506,True
CPT-ARN-04,2010,105.22987327121606,1,11.824167443727156,True
CPT-ARN-19,2011,91.9732796732262,1,20.02072121013901,True
CPT-ARN-21,2011,135.4618911195305,1,10.023474259064846,True
CPT-ARN-22,2011,105.83184680165438,1,18.76798039475211,True
CPT-ARN-23,2011,107.09844347090902,1,14.81731873451441,True
CPT-ARN-24,2011,115.91605109706752,1,13.59419120064346,True
CPT-ARN-25,2011,91.313255984059,1,14.761178082419809,True
CPT-ARN-26,2011,105.14097081902148,1,15.813726501774967,True
CPT-ARN-28,2011,102.46917190808009,1,14.74594075501586,True
CPT-ARN-30,2011,89.48378345276416,1,18.24178129630588,True
CPT-ARN-31,2011,106.23257102660604,1,19.648087976236265,True
CPT-ARN-33,2011,130.1575543763192,1,14.923227391590032,True
CPT-AVD-02,2010,91.43161356661636,1,17.784771918370765,False
CPT-AVD-09,2010,78.21000783219368,1,22.26673874595016,True
CPT-AVD-13,2010,89.18143056755353,1,20.271382435091176,True
CPT-AVD-14,2010,84.53703459474787,0,23.407817212580827,True
CPT-AVD-15,2010,86.54072731919062,0,22.15529140070852,True
CPT-AVD-16,2010,74.40986437958824,0,23.71382192441976,True
CPT-AVD-17,2010,75.01231121070516,0,23.10362132549545,True
CPT-AVD-18,2010,80.75147002624165,0,19.52311157709914,True
CPT-AVD-19,2010,83.03824253863489,1,19.022721036004924,True
CPT-AVD-30,2011,95.55956404751662,1,17.519310329735113,True
CPT-AVD-32,2011,85.82776852946479,1,20.958651847802606,True
CPT-AVD-36,2011,78.6690181157253,1,18.613267292886096,True
CPT-AVD-37,2011,92.53651991836436,1,17.037879764101362,True
CPT-AVD-38,2011,99.3155269447344,1,14.473272518234044,True
CPT-AVD-40,2011,89.23139953008663,1,19.21577081872946,True
CPT-AVD-41,2011,99.85414377111618,1,13.614287745704608,True
CPT-AVD-42,2011,90.9538110051497,1,18.27413443329712,True
CPT-AVD-43,2011,92.30632869190664,1,19.190309358498613,True
CPT-AVD-44,2011,89.49444890824887,1,17.63818833910263,True
CPT-AVD-47,2011,89.51327175861347,1,19.468858734946373,True
CPT-AVD-48,2011,89.08383015403386,1,19.873941596624388,True
CPT-AVD-49,2011,85.50902359739815,1,20.87984846919893,True
CPT-AVD-50,2011,88.82559929436148,1,18.573228619084645,True
CPT-AVD-51,2011,92.49878905643456,1,17.56668752416891,True
CPT-AVD-54,2011,92.38423751448106,1,18.843356655600388,True
CPT-AVD-56,2011,97.6080128878689,1,12.64858182509874,True
CPT-AVD-57,2011,104.15234326994688,1,18.80567728347254,True
CPT-AVD-62,2011,111.62800759866042,1,16.20101993952914,True
CPT-AVL-02,2010,57.29695371942431,0,21.424540546623074,True
CPT-AVL-04,2010,82.20550616943595,1,13.385450064205376,True
CPT-AVL-05,2010,101.28061565485692,1,10.008715360171934,True
CPT-AVS-01,2010,82.33037326729622,1,7.190169607660656,True
CPT-AVS-02,2010,52.29120096414257,0,8.091708003674555,False
CPT-AVS-07,2010,92.8785022870675,1,15.997047214749736,True
CPT-AVS-08,2010,72.64606739062594,1,16.353360610350144,True
CPT-AVS-10,2010,66.79918320594803,0,18.304600311227983,True
CPT-AVS-11,2010,75.66360589621489,1,9.8824645574814,True
CPT-AVS-12,2010,79.87538410040304,1,12.50042971600797,True
CPT-AVS-15,2010,137.85666326765892,1,6.747912063252935,True
CPT-AVS-16,2010,119.52750253484275,1,8.401190136997347,True
CPT-AVS-17,2010,113.93339482657215,0,17.605764824966496,True
CPT-AVS-18,2010,135.45498974251984,1,9.908286149639013,True
CPT-AVS-20,2010,87.79422809122279,1,16.38625085769504,True
CPT-AVS-21,2010,75.22114961773681,1,24.1602828929952,True
CPT-AVS-22,2010,124.8614858563663,1,11.776199541150348,True
CPT-AVS-23,2010,83.52933713663732,0,17.186163753017922,True
CPT-AVS-24,2010,86.79917731306666,0,17.524917625074863,True
CPT-AVS-25,2010,79.43182840668267,0,18.35191597200632,True
CPT-AVS-26,2010,92.47328892178632,0,14.347772447249202,True
CPT-AVS-28,2010,73.45391034189957,0,17.202038467213566,True
CPT-AVS-29,2010,93.82215223809318,0,20.890666764011858,True
CPT-AVS-30,2010,83.57765985927942,0,18.66182095403716,True
CPT-AVS-31,2010,120.63565753762644,0,13.887044236684066,True
CPT-AVS-35,2011,90.01887850462039,1,8.769584998270464,True
CPT-AVS-39,2011,107.12443410535806,1,4.150966333704172,True
CPT-AVS-41,2011,86.59607056387551,1,10.99970771011381,True
CPT-AVS-42,2011,125.03842800442251,1,7.692385254262417,True
CPT-AVS-43,2011,96.81456184159384,1,6.3952616616540485,True
CPT-AVS-45,2011,112.96671599212328,1,11.1356683472329,True
CPT-AVS-49,2011,120.19374217389388,1,12.256590573461295,True
CPT-AVS-51,2011,117.94177498145694,1,13.735645154242818,True
CPT-AVS-55,2011,124.0134866806982,1,14.744751503320044,True
CPT-AVS-57,2011,106.5249054909937,1,12.301310807624148,True
CPT-BDL-01,2010,83.66097057687632,1,4.483645975121713,True
CPT-BDL-02,2010,75.07582067758341,0,7.236501040916087,True
CPT-BDL-03,2010,86.29004272049373,0,6.498987936991984,True
CPT-BDL-06,2010,70.13068563245032,1,10.502704717882008,True
CPT-BDL-10,2010,67.76470749853219,1,10.338572241411963,True
CPT-BDL-11,2010,67.21142272569433,1,13.418622272941818,False
CPT-BEX-01,2010,84.76822698688109,1,26.68182664358933,True
CPT-BEX-04,2010,108.45770020547045,1,23.841721862388205,True
CPT-BEX-06,2010,117.04139669569786,1,21.013173542012105,True
CPT-BEX-07,2010,97.7357674877291,1,22.44203049337397,True
CPT-BEX-08,2010,90.5199232156971,1,24.05734879351517,True
CPT-BEX-09,2010,86.06605615871447,1,21.731932670230243,True
CPT-BEX-10,2010,131.19652074955587,1,18.30093628898129,True
CPT-BEX-11,2010,91.22685362449567,1,27.052299269593544,True
CPT-BEX-12,2010,82.42207900306391,1,24.681783324960207,True
CPT-BEX-13,2010,81.68373789994689,1,23.796299699940985,True
CPT-BEX-14,2010,91.43824069877088,1,25.858020932251943,True
CPT-BEX-16,2010,78.74347942065647,1,26.51057800166714,True
CPT-BEX-17,2010,88.1046932932233,1,23.9427706373243,True
CPT-BEX-18,2010,105.13345865930472,1,15.289666600153634,False
CPT-BEX-19,2010,92.35172980841214,1,19.599393037629422,True
CPT-BEX-26,2010,91.5654474205112,1,16.282192330858784,True
CPT-BEX-27,2010,107.49157601973155,1,14.983872475429934,True
CPT-BEX-29,2010,85.46638856248555,0,12.526030969965548,True
CPT-BEX-33,2010,85.23658661701631,1,15.792654112541085,True
CPT-BEX-35,2010,103.9653669919223,1,20.3476673395084,True
CPT-BFT-08,2010,72.1737084337226,1,6.771396919029079,True
CPT-BFT-10,2010,78.58137583174359,1,8.536491000137264,True
CPT-BKM-09,2011,61.87806356173128,1,14.219897682896615,True
CPT-BKM-11,2011,81.6292045749261,1,11.88595637270978,True
CPT-BKM-14,2011,226.28000662885603,0,0.0,True
CPT-BKM-15,2011,84.19698946282199,1,7.989129001198797,False
CPT-BKM-19,2011,89.27674066477138,0,14.654799098067588,True
CPT-BKM-20,2011,87.54890234727829,0,6.522884905454639,True
CPT-BKM-21,2011,79.4998007378762,1,3.715440306618026,True
CPT-BKM-25,2011,70.66152164681472,1,10.476972564400418,True
CPT-BKM-31,2011,81.20099944735826,1,8.539170400226375,True
CPT-BRK-01,2010,101.40781647074762,0,9.57142168145572,True
CPT-BRK-02,2010,115.91605552061748,1,12.688325433263566,True
CPT-BRK-03,2010,116.66745618348448,1,12.342000008011231,True
CPT-BRK-04,2010,134.4420471047792,1,8.705776511726736,True
CPT-BRK-05,2010,90.05120001360369,1,8.71650485269883,True
CPT-BRK-07,2010,103.43667086613512,1,8.701676811030271,True
CPT-BRK-09,2010,92.50759855776428,1,5.204297059417925,True
CPT-BRK-12,2010,93.81390319240072,1,9.675584498693764,True
