months,qc1Ncs,tolerable_PGA_g
0,37.5,0.10970627555474907
3,43.35,0.11558112543684675
6,49.2,0.1217572016523311
12,60.9,0.13525749440616847
24,84.3,0.16990130902085548
60,154.5,0.5918098588180963
