oid,year,E,N,qc1Ncs,mS,mF,pgaS,pgaF
CPT-ARN-30,2011,1576730.34,5182526.74,89.48378345276416,0,0,21.67,82.41
CPT-ARN-31,2011,1576554.91,5182798.43,106.23257102660605,0,0,21.67,82.41
CPT-ARN-33,2011,1576455.01,5182974.97,130.1575543763192,0,0,21.67,82.41
CPT-AVD-02,2010,1574602.57,5182888.22,91.43161356661635,0,0,22.59,68.54
CPT-AVD-09,2010,1574545.91,5183483.03,78.21000783219368,0,0,22.59,64.24
CPT-AVD-13,2010,1576073.73,5183420.72,89.18143056755353,0,0,22.03,69.93
CPT-AVD-14,2010,1574380.34,5182978.27,84.53703459474787,0,0,22.59,68.54
CPT-AVD-15,2010,1574389.57,5183052.47,86.54072731919062,0,0,22.59,68.54
CPT-AVD-16,2010,1574412.83,5183187.48,74.40986437958824,0,0,22.59,64.24
CPT-AVD-17,2010,1574462.37,5183343.75,75.01231121070516,0,0,22.59,64.24
CPT-AVD-18,2010,1574504.38,5183445.31,80.75147002624165,0,0,22.59,64.24
CPT-AVD-19,2010,1574621.42,5183528.92,83.03824253863489,0,0,22.59,64.24
CPT-AVD-30,2011,1575655.29,5183463.58,95.55956404751662,0,0,22.03,69.93
CPT-AVD-32,2011,1574748.99,5183367.87,85.82776852946479,0,0,22.59,65.96
CPT-AVD-36,2011,1575063.14,5183262.1,78.6690181157253,0,0,22.59,65.96
CPT-AVD-37,2011,1575280.89,5183250.93,92.53651991836436,0,0,22.03,65.96
CPT-AVD-38,2011,1575481.19,5183322.52,99.3155269447344,0,0,22.03,69.93
CPT-AVD-40,2011,1574739.53,5183186.78,89.23139953008663,0,0,22.59,65.96
CPT-AVD-41,2011,1574895.81,5183087.24,99.85414377111618,0,1,22.59,76.29
CPT-AVD-42,2011,1574963.31,5183183.73,90.9538110051497,0,1,22.59,65.96
CPT-AVD-43,2011,1574993.09,5183095.71,92.30632869190663,0,1,22.59,76.29
CPT-AVD-44,2011,1575042.66,5182992.81,89.49444890824887,0,1,22.59,76.29
CPT-AVD-47,2011,1575008.08,5182912.24,89.51327175861347,0,0,22.59,76.29
CPT-AVD-48,2011,1575133.48,5182981.62,89.08383015403386,0,0,22.03,76.29
