oid,year,E,N,LSN_S,LSN_F,pgaF,mS,mF
CPT-ARN-30,2011,1576730.34,5182526.74,7.12585616471289,18.241781296305874,82.41,0,0
CPT-ARN-31,2011,1576554.91,5182798.43,5.499609164274381,19.648087976236262,82.41,0,0
CPT-ARN-33,2011,1576455.01,5182974.97,3.4095574708272633,14.923227391590032,82.41,0,0
CPT-AVD-02,2010,1574602.57,5182888.22,6.516498534153399,17.784771918370765,68.54,0,0
CPT-AVD-09,2010,1574545.91,5183483.03,11.923756423303196,22.266738745950157,64.24,0,0
CPT-AVD-13,2010,1576073.73,5183420.72,10.878039881707288,20.271382435091176,69.93,0,0
CPT-AVD-14,2010,1574380.34,5182978.27,12.776524678166679,23.407817212580827,68.54,0,0
CPT-AVD-15,2010,1574389.57,5183052.47,13.055532981503703,22.155291400708514,68.54,0,0
CPT-AVD-16,2010,1574412.83,5183187.48,20.136761303836746,23.71382192441976,64.24,0,0
CPT-AVD-17,2010,1574462.37,5183343.75,16.59815332954439,23.10362132549545,64.24,0,0
CPT-AVD-18,2010,1574504.38,5183445.31,11.143389791422837,19.52311157709914,64.24,0,0
CPT-AVD-19,2010,1574621.42,5183528.92,9.452517658704922,19.022721036004924,64.24,0,0
CPT-AVD-30,2011,1575655.29,5183463.58,9.947175419016352,17.519310329735113,69.93,0,0
CPT-AVD-32,2011,1574748.99,5183367.87,10.43767052752931,20.958651847802606,65.96,0,0
CPT-AVD-36,2011,1575063.14,5183262.1,9.280557534818719,18.613267292886096,65.96,0,0
CPT-AVD-37,2011,1575280.89,5183250.93,6.671158053613166,17.037879764101362,65.96,0,0
CPT-AVD-38,2011,1575481.19,5183322.52,5.3831142770076905,14.473272518234044,69.93,0,0
CPT-AVD-40,2011,1574739.53,5183186.78,8.099613118052472,19.21577081872946,65.96,0,0
CPT-AVD-41,2011,1574895.81,5183087.24,4.7721110685012285,13.614287745704608,76.29,0,1
CPT-AVD-42,2011,1574963.31,5183183.73,6.6996615562435515,18.27413443329712,65.96,0,1
CPT-AVD-43,2011,1574993.09,5183095.71,7.039624107118937,19.190309358498613,76.29,0,1
CPT-AVD-44,2011,1575042.66,5182992.81,7.321790173025643,17.63818833910263,76.29,0,1
CPT-AVD-47,2011,1575008.08,5182912.24,7.941099986277331,19.468858734946373,76.29,0,0
CPT-AVD-48,2011,1575133.48,5182981.62,8.210217339778533,19.873941596624388,76.29,0,0
CPT-AVD-49,2011,1575208.69,5183108.69,8.537591807642483,20.87984846919893,76.29,0,0
CPT-AVD-50,2011,1575308.06,5183183.05,6.7473421301314955,18.573228619084645,65.96,0,0
CPT-AVD-51,2011,1575472.69,5183253.79,6.673307173346462,17.56668752416891,69.93,0,0
CPT-AVD-54,2011,1575735.91,5183249.46,6.771557139548136,18.843356655600388,69.93,0,0
CPT-AVD-56,2011,1575705.85,5183354.4,4.577695904129303,12.648581825098741,69.93,0,0
CPT-AVD-57,2011,1575628.16,5183243.49,6.218819718079271,18.80567728347254,69.93,0,0
CPT-AVD-62,2011,1575919.33,5183451.85,4.978020925997771,16.20101993952914,69.93,0,1
CPT-AVL-02,2010,1571538.59,5181020.72,16.777787290703376,21.424540546623074,67.03,0,0
CPT-AVL-04,2010,1571754.87,5180795.58,6.661412601132939,13.385450064205376,67.03,0,0
CPT-AVL-05,2010,1571427.92,5180830.54,3.1999932952129075,10.008715360171934,67.03,0,0
CPT-AVS-01,2010,1574334.76,5182427.44,2.853639145532404,7.190169607660656,68.54,0,0
CPT-AVS-02,2010,1572609.36,5195793.58,10.279817861031617,8.091708003674555,22.02,1,0
CPT-AVS-07,2010,1572621.8,5181199.47,7.1761713140297,15.997047214749736,70.22,0,0
CPT-AVS-08,2010,1572870.39,5181207.81,10.74258748001761,16.353360610350144,79.92,0,0
CPT-AVS-10,2010,1573409.98,5181232.45,12.376625612403394,18.304600311227983,83.17,0,0
CPT-AVS-11,2010,1572693.83,5181313.38,4.83170609568236,9.882464557481399,64.67,0,0
CPT-AVS-12,2010,1573142.1,5181330.55,5.69186267790505,12.50042971600797,70.66,0,0
CPT-AVS-15,2010,1572911.71,5181581.84,2.0708597741418555,6.747912063252935,70.66,0,0
CPT-AVS-16,2010,1573171.14,5181557.65,2.5989767037840963,8.401190136997347,70.66,0,0
CPT-AVS-17,2010,1573403.45,5181583.98,6.024259079806627,17.605764824966496,73.3,0,0
CPT-AVS-18,2010,1572887.1,5181738.23,3.9855780508857355,9.908286149639013,70.66,0,0
CPT-AVS-20,2010,1573325.46,5181769.39,7.284247485776083,16.38625085769504,70.66,0,0
CPT-AVS-21,2010,1573487.37,5181763.69,14.76520996635732,24.160282892995202,73.3,0,0
CPT-AVS-22,2010,1572979.89,5181864.6,4.110023307151781,11.776199541150348,70.66,0,0
CPT-AVS-23,2010,1573381.0,5181893.25,9.836303103004798,17.186163753017922,70.66,0,0
CPT-AVS-24,2010,1573209.09,5181989.69,14.197114995774898,17.524917625074863,70.66,0,0
CPT-AVS-25,2010,1573075.1,5181969.3,13.170612429489243,18.35191597200632,70.66,0,0
CPT-AVS-26,2010,1573141.77,5181988.6,11.248631389160117,14.347772447249202,70.66,0,0
CPT-AVS-28,2010,1573334.22,5181947.15,12.428999492040447,17.202038467213566,70.66,0,0
CPT-AVS-29,2010,1573425.32,5181857.69,10.617355029319096,20.890666764011858,73.3,0,0
CPT-AVS-30,2010,1573474.19,5181653.17,10.901992047122956,18.66182095403716,73.3,0,0
CPT-AVS-31,2010,1573420.84,5181606.58,4.690277168625171,13.887044236684066,73.3,0,0
CPT-AVS-35,2011,1572550.03,5181082.92,4.308507691932286,8.769584998270464,70.22,0,0
CPT-AVS-39,2011,1573098.46,5181194.42,1.4373845969291108,4.150966333704172,79.92,0,0
CPT-AVS-41,2011,1573234.46,5181060.91,4.007333297136512,10.99970771011381,79.92,0,0
CPT-AVS-42,2011,1573269.05,5181192.74,1.9759214224181878,7.692385254262417,79.92,0,0
CPT-AVS-43,2011,1573390.54,5180836.74,2.0440779584550466,6.3952616616540485,79.92,0,1
CPT-AVS-45,2011,1573367.13,5181100.03,3.337683972766711,11.135668347232901,79.92,0,0
CPT-AVS-49,2011,1573714.79,5181137.05,3.864024306780606,12.256590573461295,83.17,0,0
CPT-AVS-51,2011,1573911.08,5181146.5,5.034269635609066,13.735645154242818,83.17,0,0
CPT-AVS-55,2011,1574281.78,5180862.64,3.6934066574546365,14.744751503320044,97.21,0,0
CPT-AVS-57,2011,1574142.32,5181112.75,4.576683245957332,12.301310807624148,97.21,0,0
CPT-BDL-01,2010,1566939.14,5184259.77,6.188363111463343,4.483645975121713,26.38,0,1
CPT-BDL-02,2010,1567137.08,5184147.46,8.085118135507221,7.236501040916087,26.38,0,0
CPT-BDL-03,2010,1565528.17,5185394.21,9.319208398876011,6.498987936991984,23.9,0,0
CPT-BDL-06,2010,1566175.45,5185589.59,14.59084409463119,10.502704717882008,24.3,0,0
CPT-BDL-10,2010,1566523.89,5185872.65,12.839069824890114,10.338572241411963,24.3,0,0
CPT-BDL-11,2010,1566700.95,5185625.14,15.670790481847693,13.418622272941818,24.7,0,0
CPT-BEX-01,2010,1577410.02,5181510.18,10.770338872101703,26.681826643589332,93.43,0,0
CPT-BEX-04,2010,1577310.33,5181645.84,5.688626637474522,23.841721862388205,93.43,0,0
CPT-BEX-06,2010,1577726.1,5181964.88,8.080723736175965,21.013173542012105,95.51,0,0
CPT-BEX-07,2010,1577245.9,5181935.02,8.806284972756876,22.44203049337397,93.43,0,0
CPT-BEX-08,2010,1577507.77,5182007.92,8.992654539881817,24.057348793515175,95.51,0,0
CPT-BEX-09,2010,1577800.3,5182116.62,8.463102496231034,21.731932670230243,95.51,0,0
CPT-BEX-10,2010,1577174.14,5182171.0,6.107155325982862,18.300936288981294,93.43,0,1
CPT-BEX-11,2010,1577437.97,5182240.04,11.458756836011876,27.052299269593544,85.08,0,0
CPT-BEX-12,2010,1577619.95,5182310.84,12.94200570557449,24.681783324960207,85.08,0,0
CPT-BEX-13,2010,1577144.42,5182450.7,10.167912289335229,23.796299699940985,81.63,0,0
CPT-BEX-14,2010,1577320.06,5182472.14,10.519752609600824,25.858020932251943,81.63,0,0
CPT-BEX-16,2010,1577054.55,5182638.96,19.127355372498236,26.51057800166714,81.63,0,0
CPT-BEX-17,2010,1577270.18,5182708.33,11.64095681066156,23.9427706373243,81.63,0,1
CPT-BEX-18,2010,1577822.55,5182279.42,4.491012785693428,15.289666600153634,85.08,0,0
CPT-BEX-19,2010,1576916.86,5182826.2,9.145489553555587,19.599393037629422,81.63,0,0
CPT-BEX-26,2010,1577857.45,5182162.61,6.419710222268078,16.282192330858784,95.51,0,0
CPT-BEX-27,2010,1577822.5,5182072.37,4.546997128117693,14.983872475429934,95.51,0,0
CPT-BEX-29,2010,1577464.06,5181341.02,5.245510753381621,12.526030969965547,95.51,0,0
CPT-BEX-33,2010,1577822.55,5182279.42,6.057208361333616,15.792654112541083,85.08,0,0
CPT-BEX-35,2010,1577576.56,5181864.31,5.515602646205115,20.347667339508398,95.51,0,0
CPT-BFT-08,2010,1569270.64,5188256.36,8.021208301551294,6.771396919029079,23.68,0,1
CPT-BFT-10,2010,1569440.7,5188175.85,10.713969599230612,8.536491000137264,24.93,0,1
CPT-BKM-09,2011,1570969.0,5176619.99,10.181000948978935,14.219897682896615,92.11,0,0
CPT-BKM-11,2011,1571360.71,5176820.63,5.6403447469713095,11.885956372709781,81.79,0,1
CPT-BKM-14,2011,1570710.76,5176364.56,0.0,0.0,82.87,0,0
CPT-BKM-15,2011,1570897.06,5176447.72,4.147098621007518,7.989129001198797,92.11,0,0
CPT-BKM-19,2011,1571063.09,5175775.22,5.938024215112218,14.654799098067588,92.11,0,0
CPT-BKM-20,2011,1571167.13,5176380.16,2.4552582047252836,6.522884905454639,92.11,0,0
CPT-BKM-21,2011,1571027.34,5176115.45,1.6542827205482493,3.715440306618026,92.11,0,0
CPT-BKM-25,2011,1571438.17,5176374.96,5.6015259140035525,10.476972564400418,101.4,0,1
CPT-BKM-31,2011,1571333.15,5176372.66,4.0246117808551105,8.539170400226375,92.11,0,1
CPT-BRK-01,2010,1575350.37,5192876.88,8.94571097052488,9.57142168145572,28.689999999999998,0,0
CPT-BRK-02,2010,1575191.43,5192903.26,11.747915199532553,12.688325433263566,28.689999999999998,1,1
CPT-BRK-03,2010,1575125.8,5193273.48,12.41121823594545,12.342000008011231,28.689999999999998,0,0
CPT-BRK-04,2010,1575185.99,5193750.48,7.924500211491651,8.705776511726736,26.83,1,0
CPT-BRK-05,2010,1575248.2,5194107.85,7.940961750661813,8.71650485269883,26.83,1,1
CPT-BRK-07,2010,1575323.04,5194519.04,9.178685968011363,8.701676811030271,25.4,1,1
CPT-BRK-09,2010,1575891.68,5194516.49,5.374397003017571,5.204297059417925,26.030000000000005,1,0
CPT-BRK-12,2010,1575351.02,5194775.19,9.9202100927329,9.675584498693764,25.4,1,1
CPT-BRK-15,2010,1575596.31,5194959.4,9.541216074381131,9.795384051202909,26.030000000000005,0,1
CPT-BRK-18,2010,1575147.05,5193927.82,11.29484235378222,11.355440603210145,26.83,1,1
CPT-BRY-01,2011,1575099.77,5180935.51,4.256368068371374,14.535381245197954,93.95,0,0
CPT-BRY-03,2011,1574650.64,5180807.19,2.6818931773459784,9.730615126730237,97.21,0,0
CPT-BRY-05,2011,1574415.6,5180393.63,2.8844074926206407,11.434839724268029,97.21,0,0
CPT-BRY-08,2011,1575352.16,5179983.17,6.6893423207022575,19.59810492549361,104.3,0,0
CPT-BRY-10,2011,1574862.21,5179357.01,1.9966990669175855,11.572326362496405,106.4,0,1
CPT-BRY-11,2011,1574761.12,5179288.4,1.440625510326902,6.679955071701214,106.4,0,0
CPT-BRY-12,2011,1575270.06,5179058.91,6.336631163925182,19.87707074799955,106.4,0,0
CPT-BRY-13,2011,1574789.11,5178963.12,1.320966330135832,8.129224206657724,106.4,0,0
CPT-BRY-15,2011,1574497.12,5179565.39,11.545196198373915,20.918683831258363,99.62,0,0
CPT-BRY-16,2011,1574370.84,5179548.14,4.212208586541231,14.489895948543516,99.62,0,0
CPT-BRY-18,2011,1574275.08,5179602.78,5.65922867035506,17.4926798184919,99.62,0,0
CPT-BRY-20,2011,1574823.12,5179753.75,3.3079967680175812,13.337404585694212,104.3,0,0
CPT-BRY-21,2011,1575010.18,5180125.91,3.8017568761266567,13.392564631768515,104.3,0,0
CPT-BRY-22,2011,1574270.4,5180022.22,1.858911494612817,6.621067438439342,99.62,0,0
CPT-BUR-03,2010,1574122.15,5183152.5,9.954966639193232,19.812132782290504,64.24,0,0
CPT-BUR-05,2010,1573932.91,5183259.54,11.571045526781234,21.700015699783343,59.54999999999999,0,0
CPT-BUR-06,2010,1574224.55,5183261.04,12.871576059087413,26.236861004670537,64.24,0,0
CPT-BUR-07,2010,1574132.76,5183360.69,13.944383794683418,22.691343616366023,64.24,0,0
CPT-BUR-08,2010,1573690.75,5183434.84,7.503270109016012,16.283384926422677,59.54999999999999,0,0
CPT-BUR-101,2011,1574466.75,5185374.58,4.701164050113124,11.556384953983656,51.57000000000001,0,0
CPT-BUR-102,2011,1574300.33,5184806.63,4.568166689039344,11.679670675237716,56.84,0,1
CPT-BUR-104,2011,1574096.77,5185337.38,5.27123132183688,10.26815781361436,51.57000000000001,0,1
CPT-BUR-105,2011,1574385.43,5184517.99,2.425936343870457,6.580204964969854,56.84,0,0
CPT-BUR-11,2010,1573555.27,5183600.37,8.820940745696511,16.979136043979132,59.54999999999999,0,0
CPT-BUR-12,2010,1573673.65,5183591.8,7.5689246333675255,15.944291961682312,59.54999999999999,0,0
CPT-BUR-18,2010,1573678.78,5183942.6,8.384135785368887,16.76502220482737,59.54999999999999,0,0
CPT-BUR-19,2010,1574060.59,5183581.85,17.25238862445311,23.494118537734145,59.54999999999999,0,0
CPT-BUR-26,2010,1574310.74,5183287.96,7.638050847757988,15.212675299923351,64.24,0,1
CPT-BUR-27,2010,1574145.84,5183562.21,6.027386260104804,14.40111842443996,64.24,0,1
CPT-BUR-28,2010,1574315.15,5183567.8,1.6704823798489161,6.037849791739368,64.24,0,0
CPT-BUR-29,2010,1573958.28,5183679.0,11.580798951775007,20.304364996465917,59.54999999999999,0,0
CPT-BUR-30,2010,1573882.58,5183868.76,9.963804525474865,16.876417215184997,59.54999999999999,0,0
CPT-BUR-31,2010,1573624.09,5183944.45,6.951036047236677,14.61496551193879,59.54999999999999,0,0
CPT-BUR-33,2010,1573137.87,5183009.62,0.18080328805010157,0.7586892907236498,60.67,0,0
CPT-BUR-34,2010,1574226.9,5184924.32,5.785469046584838,12.940558120168525,56.84,0,0
CPT-BUR-35,2010,1574243.27,5184806.06,6.46663612195733,14.472806681868228,56.84,0,1
CPT-BUR-36,2010,1574226.56,5184738.83,11.068790310072732,17.3653028035058,56.84,0,1
CPT-BUR-37,2010,1574338.24,5184738.32,4.021149538116214,9.703702830108792,56.84,0,1
CPT-BUR-38,2010,1575145.74,5183586.44,7.443370194919281,17.74479913918757,65.96,0,0
CPT-BUR-39,2010,1575071.83,5183451.4,9.410870506720661,18.06090292573157,65.96,0,1
CPT-BUR-41,2010,1575445.25,5183463.94,11.933893924764659,19.473382816110586,69.93,0,1
CPT-BUR-42,2010,1575330.49,5183843.5,7.179781294627305,16.05389755974067,65.96,0,0
CPT-BUR-43,2010,1575300.65,5184245.65,7.705303907053999,17.79341860128985,60.15999999999999,0,0
CPT-BUR-44,2010,1575535.09,5184224.26,10.66255440567754,23.720415145209824,62.11,0,0
CPT-BUR-46,2010,1575767.47,5183825.18,8.327117602541005,20.095465131809195,69.93,0,1
CPT-BUR-47,2010,1574789.98,5184744.13,4.516822052497208,11.534330169734925,60.15999999999999,0,1
CPT-BUR-48,2010,1574874.0,5184738.09,6.208052829792123,16.74696719036079,60.15999999999999,0,1
CPT-BUR-49,2010,1574897.92,5184856.13,14.59849643878696,22.309900137396316,60.15999999999999,0,1
CPT-BUR-51,2010,1573613.76,5183291.47,9.932065586036774,17.178127938736747,59.54999999999999,0,0
CPT-BUR-52,2010,1573541.65,5183881.12,7.9286103639291845,18.46525333185138,59.54999999999999,0,0
CPT-BUR-53,2010,1573624.08,5183944.45,8.257894283177897,17.024158200542644,59.54999999999999,0,0
CPT-BUR-54,2010,1573887.01,5184020.57,10.640225617319727,17.622237218841736,59.54999999999999,0,0
CPT-BUR-57,2010,1575105.79,5183415.3,13.636417996765648,21.81614050504015,65.96,0,0
CPT-BUR-58,2010,1575167.14,5183400.15,14.55611455264519,21.016328168808414,65.96,0,1
CPT-BUR-59,2010,1575306.95,5183420.1,13.482467400876457,18.094671214428676,65.96,0,1
CPT-BUR-60,2010,1575381.88,5183442.01,11.781674255333822,20.13254341007472,65.96,0,1
CPT-BUR-70,2011,1575784.23,5183593.47,6.230044337343512,18.81338096237051,69.93,0,1
CPT-BUR-71,2011,1575538.18,5183572.75,6.345582772590659,18.402977352949417,69.93,0,0
CPT-BUR-72,2011,1575344.46,5183567.43,4.967288469339629,16.10120714103829,65.96,0,0
CPT-BUR-73,2011,1575130.44,5183503.26,5.504575964534555,17.12506453619939,65.96,0,0
CPT-BUR-77,2011,1575532.35,5183676.47,11.295089610530926,24.41341545167186,69.93,0,1
CPT-BUR-78,2011,1575774.25,5183853.41,10.075510393105851,22.01901029892032,69.93,0,1
CPT-BUR-79,2011,1575778.78,5184023.16,14.33369229295248,19.671675528008215,69.93,0,1
CPT-BUR-80,2011,1575624.82,5184243.29,5.087325318543377,15.33010389592607,62.11,0,0
CPT-BUR-81,2011,1575585.49,5183996.63,6.204426894614887,15.824187770774593,69.93,0,1
CPT-BUR-82,2011,1575436.47,5184220.2,5.328964020604126,13.560082493044566,62.11,0,1
CPT-BUR-84,2011,1575100.69,5184273.27,4.716001610540974,10.474989178221787,60.15999999999999,0,0
CPT-BUR-88,2011,1574946.49,5183785.81,5.024817239294906,12.197120035774965,65.96,0,0
CPT-BUR-93,2011,1575256.58,5184542.78,2.4200080994020796,8.500169042913104,60.15999999999999,0,1
CPT-BUR-96,2011,1574561.45,5185105.09,3.69181741778303,8.497018519667575,51.57000000000001,0,0
CPT-BUR-99,2011,1574600.95,5184905.76,4.333465855764789,11.313330323791227,56.84,0,0
CPT-BYR-01,2011,1567936.1,5183178.26,3.796400938818233,3.96242651716804,29.710000000000004,0,0
CPT-CBD-04,2011,1570596.81,5181259.24,3.796525239069987,7.122852882051306,57.63,0,0
CPT-CBD-07,2011,1571314.42,5181280.4,3.43694314051718,6.000401994290133,63.18,0,0
CPT-CBD-10,2011,1569845.16,5181033.14,2.1314307395305825,4.798778864504408,50.88,0,0
CPT-CBD-101P,2011,1570619.57,5179180.59,6.756081349242902,15.64671712876695,65.49,0,1
CPT-CBD-105,2011,1571529.95,5179127.4,3.4582764553739445,8.16434163698216,76.32,0,0
CPT-CBD-106,2011,1571826.82,5179057.72,5.1949578627024415,15.126809591329895,76.32,0,0
CPT-CBD-107,2011,1568982.51,5179005.48,3.8332962498803465,6.504258530003579,53.1,0,0
CPT-CBD-108,2011,1569436.36,5178977.77,5.472820850495985,11.571769304720958,58.07,0,1
CPT-CBD-109,2011,1569961.07,5179026.1,4.979772684721031,11.266643845527833,58.07,0,0
CPT-CBD-113,2011,1570959.43,5178996.84,6.087510198329163,13.944824536990058,71.59,0,0
CPT-CBD-116,2011,1569130.28,5178827.55,2.4524522979839025,5.335028387916529,53.1,0,0
CPT-CBD-117,2011,1569474.84,5178876.41,6.630770042907033,9.670544589285965,58.07,0,0
CPT-CBD-118,2011,1569574.89,5178889.54,8.037821785002713,12.163544376253164,58.07,0,1
CPT-CBD-119,2011,1569846.81,5178884.05,5.948154580117746,11.852986085170194,58.07,0,0
CPT-CBD-122,2011,1570660.78,5178889.04,7.283688920778218,14.386079790854009,65.49,0,0
CPT-CBD-123,2011,1570922.33,5178859.17,5.7431809365725615,12.878005118238326,71.59,0,0
CPT-CBD-125,2011,1571451.07,5178818.12,5.475493481117261,10.19101501797946,76.32,0,0
CPT-CBD-128,2011,1570371.1,5178612.76,7.7071475462593595,14.865537136039594,65.49,0,0
CPT-CBD-129,2011,1570731.77,5178612.98,11.763623414738804,17.223038363127024,71.59,0,1
CPT-CBD-130,2011,1570827.07,5178581.83,8.27357383297244,14.465159715711511,71.59,0,1
CPT-CBD-131,2011,1571163.11,5178640.75,8.413387814923587,16.879111204543754,71.59,0,0
CPT-CBD-135,2011,1570662.57,5178386.98,4.971781952241924,12.740923150605823,69.75,0,1
CPT-CBD-136,2011,1570827.08,5178342.44,10.626613501323542,16.681517271238857,73.94,0,0
CPT-CBD-137,2011,1571121.26,5178287.22,8.448234023234077,12.122666211424704,73.94,0,0
CPT-CBD-138,2011,1571449.22,5178351.17,3.4864263903419035,7.880581128618304,78.72,0,1
CPT-CBD-141,2011,1572725.0,5175980.0,8.759401582373252,19.266862882380995,108.0,0,0
CPT-CBD-142,2011,1571919.85,5178791.62,3.413562869460543,6.447401259126927,76.32,0,0
CPT-CBD-144,2011,1572285.16,5179150.35,5.948401912440071,15.137787013069865,83.65,0,0
CPT-CBD-145,2011,1572072.34,5179356.86,4.501536420654709,12.167144204691493,83.65,0,0
CPT-CBD-146,2011,1572271.6,5179379.09,3.168608183482041,8.599506809342351,83.65,0,0
CPT-CBD-148,2011,1572292.23,5179451.98,5.463032854998944,16.43242002504418,76.11,0,1
CPT-CBD-18,2011,1571810.29,5180970.86,3.3656917798434325,10.277282395379565,67.03,0,0
CPT-CBD-21,2011,1570375.61,5180888.53,2.312603873669096,5.542150219627722,57.63,0,0
CPT-CBD-22,2011,1570614.23,5180868.39,2.1361615326585963,4.61759801737977,57.63,0,1
CPT-CBD-25,2011,1571381.08,5180915.98,6.7821037855672905,15.226975487897677,67.03,0,1
CPT-CBD-29,2011,1570144.46,5180628.78,3.4045268390488186,7.7105585156479926,57.63,0,0
CPT-CBD-32,2011,1570908.85,5180654.25,4.767841431710741,13.28577148644574,63.18,0,1
CPT-CBD-36,2011,1571777.36,5180592.97,1.8022185438286062,5.701675095236531,67.03,0,0
CPT-CBD-37P,2011,1569919.0,5180455.51,3.2955938351200684,7.3574663988847,50.88,0,0
CPT-CBD-42,2011,1571138.47,5180416.94,1.8127774323285277,4.7868650499961785,63.18,0,1
CPT-CBD-43,2011,1571319.68,5180410.99,2.321469228912947,5.965589894753649,63.18,0,0
CPT-CBD-45,2011,1571607.2,5180398.89,1.63970489453278,4.937751613986354,67.03,0,0
CPT-CBD-46,2011,1571779.0,5180360.86,1.297007992630328,5.033654063836571,73.45,0,0
CPT-CBD-47,2011,1569897.01,5180217.58,2.4077955214834073,5.847127668604552,53.88,0,1
CPT-CBD-51,2011,1570866.45,5180171.98,1.159713359113733,3.8406541256999565,67.94,0,0
CPT-CBD-53,2011,1571344.07,5180155.24,2.7763588715637475,7.602699533171832,67.94,0,0
CPT-CBD-54,2011,1571433.06,5180170.26,1.9404282010085114,6.071455688920572,73.45,0,0
CPT-CBD-55,2011,1571779.25,5180195.5,0.1579990068924545,1.685481422522265,73.45,0,0
CPT-CBD-61,2011,1571136.95,5180054.25,2.683546010487979,8.004133608236838,67.94,0,0
CPT-CBD-65,2011,1569888.41,5179752.55,1.2804048035521811,3.6972739666309593,53.88,0,1
CPT-CBD-70,2011,1571111.09,5179787.78,0.8921256336734613,2.9195822869501415,67.94,0,0
CPT-CBD-74,2011,1569968.22,5179539.86,4.99312434723709,11.914440064393945,53.88,0,0
CPT-CBD-79,2011,1571177.68,5179535.04,3.676413024583955,11.659538635820308,67.94,0,0
CPT-CBD-82,2011,1571745.11,5179578.8,5.752418404860846,14.579927554877617,73.45,0,1
CPT-CBD-83,2011,1569428.09,5179417.92,5.562802745786211,12.89111421805756,58.07,0,0
CPT-CBD-86,2011,1570166.79,5179357.79,5.319951009641578,10.557308233994505,65.49,0,1
CPT-CBD-87,2011,1570350.22,5179324.19,2.712050527442467,6.546549425519782,65.49,0,1
CPT-CBD-91,2011,1571358.9,5179337.78,5.062845381632734,13.911991392932249,71.59,0,0
CPT-CBD-92,2011,1571553.23,5179391.64,4.523818441285101,13.550016687874356,76.32,0,1
CPT-CBD-94,2011,1569140.92,5179094.56,5.978535354435666,10.335641477703698,53.1,0,0
CPT-CBD-98P,2011,1569879.48,5179176.59,9.054147387032355,9.174344455994644,58.07,0,1
CPT-CBD-OC01,2011,1571080.28,5180388.49,2.1005169367992305,6.768985339989257,63.18,0,1
CPT-CBD-OC03,2011,1571108.1,5180379.32,1.1942310684938229,3.6608693758509387,63.18,0,1
CPT-CBD-PC01,2011,1571079.78,5180387.0,1.5933497779469754,4.860251697201855,63.18,0,1
