oid,year,E,N,LSN_S,LSN_F,pgaF,mS,mF
AVD-POD01-CPT001,2012,1574720.61,5183131.63,6.5348004676976945,15.412474593466465,68.54,0,1
AVD-POD01-CPT015,2012,1575167.29,5183093.46,6.519041576290343,18.222555909216446,76.29,0,1
AVD-POD03-CPT001,2012,1574885.15,5182772.77,8.957484436403245,18.76304126748638,76.29,0,1
AVD-POD03-CPT007,2012,1574940.02,5182769.01,7.915664393455065,18.91068595391627,76.29,0,1
AVD-POD03-CPT014,2012,1575001.84,5182874.33,6.7136619788559155,17.650632639730464,76.29,0,1
BIS-POD01-CPT005,2012,1566237.42,5185691.81,12.55687745449386,8.762368318867527,24.3,0,1
BIS-POD01-CPT006,2012,1566319.49,5185781.68,9.948110005716075,7.648828592735503,24.3,0,1
BIS-POD01-CPT014,2012,1571912.72,5180625.23,8.917861308185758,15.930948362284383,67.03,0,1
BIS-TC201-CPT011,2013,1566298.71,5185433.56,8.80732304998209,6.8333831487232946,24.3,0,0
BIS-TC201-CPT035,2013,1566020.0,5185443.0,8.708155862310445,6.911399169021508,24.3,0,0
BUR-POD01-CPT17,2012,1574483.92,5185498.16,2.8110005693665268,7.234569140466575,51.57000000000001,0,0
BUR-POD04-CPT06,2012,1575094.15,5183874.69,5.6161669975232,14.535047394808332,65.96,0,1
CAS-POD01-CPT001,2012,1568383.83,5185966.13,10.61184897176204,8.482508930325944,24.37,0,1
CCC-POD01-CPT007,2013,1570005.01,5180643.93,1.9205202947905102,4.271266434734672,50.88,0,0
CCC-POD02-CPT055,2013,1571128.0,5180913.0,3.0521801383866345,8.128635264145148,63.18,0,0
CCC-POD03-CPT011,2012,1571921.27,5180652.42,1.676272456308924,4.980208577653353,67.03,0,1
CHM-POD01-CPT005,2012,1570560.55,5176588.0,0.0,0.0,82.87,0,1
CHM-POD01-CPT008,2013,1570525.19,5176522.56,1.368378603955177,3.445986348659921,82.87,0,1
CHM-POD01-CPTB003,2012,1570348.98,5176270.13,3.8012209161394743,8.471317320738784,82.87,0,1
CPT-ARN-01,2010,1576467.29,5181262.38,2.7864445536765725,13.25450653302823,100.6,0,0
CPT-ARN-02,2010,1576219.81,5182209.91,1.0417203852766634,7.518106579792506,93.63,0,0
CPT-ARN-04,2010,1576734.22,5182326.47,3.8635151521945277,11.824167443727156,82.41,0,0
CPT-ARN-19,2011,1576447.24,5181529.13,9.002912892953715,20.02072121013901,93.63,0,0
CPT-ARN-21,2011,1576142.24,5182128.74,1.6624531327619252,10.023474259064846,93.63,0,0
CPT-ARN-22,2011,1576516.96,5181721.57,6.335962222273381,18.76798039475211,93.63,0,0
CPT-ARN-23,2011,1576564.82,5182063.9,3.950951435887051,14.81731873451441,93.63,0,1
CPT-ARN-24,2011,1576598.12,5181917.48,3.381043738976223,13.59419120064346,93.63,0,0
CPT-ARN-25,2011,1576610.34,5182256.74,4.735442059028691,14.761178082419807,82.41,0,0
CPT-ARN-26,2011,1576326.5,5182390.67,4.535703985938333,15.813726501774967,82.41,0,0
CPT-ARN-28,2011,1576349.9,5182694.74,4.535380580460004,14.745940755015859,82.41,0,0
