Dr,CSR,N_liq,ru_max,sec
0.3,0.06,56.75,0.964,1.3
0.3,0.08,16.75,0.95,0.6
0.3,0.1,6.75,0.95,0.5
0.3,0.12,3.25,0.964,1.3
0.3,0.14,2.25,0.968,1.7
0.3,0.16,1.25,0.965,1.3
0.3,0.18,1.25,0.969,1.8
0.3,0.2,0.75,0.881,0.3
0.35,0.06,,0.447,0.4
0.35,0.08,26.25,0.97,1.8
0.35,0.1,10.75,0.965,1.0
0.35,0.12,5.25,0.968,1.3
0.35,0.14,3.25,0.969,1.5
0.35,0.16,1.75,0.927,0.3
0.35,0.18,1.25,0.961,0.9
0.35,0.2,1.25,0.967,1.0
0.4,0.06,,0.346,0.4
0.4,0.08,44.75,0.97,2.0
0.4,0.1,18.25,0.97,2.2
0.4,0.12,8.75,0.963,1.0
0.4,0.14,4.75,0.957,0.6
0.4,0.16,3.25,0.967,1.3
0.4,0.18,2.25,0.965,1.1
0.4,0.2,1.75,0.957,0.5
