Dr,CSR,ru_max,N_liq,half_cycles,sec
0.45,0.1,0.987,18.62,26.0,1.0
0.45,0.13,0.988,3.26,10.0,1.6
0.45,0.16,0.988,1.94,5.0,1.2
0.45,0.2,0.988,1.01,3.0,1.2
0.45,0.25,0.987,0.96,2.0,0.9
0.45,0.3,0.988,0.59,2.0,1.1
0.55,0.1,0.336,,31.0,0.3
0.55,0.13,0.985,18.75,28.0,1.0
0.55,0.16,0.987,5.87,13.0,1.9
0.55,0.2,0.986,2.98,6.0,1.4
0.55,0.25,0.984,1.68,3.0,0.7
0.55,0.3,0.98,1.02,2.0,0.6
